Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,SoTA,PKA,PKsv,PKm,Cmp_Total,Att_Total,TotDist,PrgDist,TI,CK,SCA,GCA,Tkl_Defensive,TklW_Defensive,Blocks_Defensive,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Dribbles_Succ,Dribles_Att,Rec,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG
2022-04-02,15:00,Premier League,Matchweek 31,Sat,Away,W,2,0,Burnley,2.0,0.1,76,21249.0,İlkay Gündoğan,4-3-3,Craig Pawson,Match Report,,18,6,16.5,0.0,0,0,1,0,0,0,718.0,821.0,13553.0,3809.0,20.0,8.0,34.0,4.0,7.0,4,8.0,868.0,57.0,244.0,428.0,205.0,3.0,7.0,711.0,0,0,0,6,11,0,0.0,0.0,0
2022-04-05,20:00,Champions Lg,Quarter-finals,Tue,Home,W,1,0,es Atlético Madrid,1.0,0.0,70,52018.0,İlkay Gündoğan,4-3-3,István Kovács,Match Report,Leg 1 of 2,15,2,18.9,1.0,0,0,0,0,0,0,651.0,741.0,11120.0,2888.0,17.0,9.0,30.0,2.0,8.0,5,13.0,811.0,24.0,104.0,427.0,293.0,13.0,22.0,643.0,2,0,0,8,13,1,0.0,0.0,0
2022-04-10,16:30,Premier League,Matchweek 32,Sun,Home,D,2,2,Liverpool,1.6,1.2,55,53197.0,Kevin De Bruyne,4-2-3-1,Anthony Taylor,Match Report,,11,4,17.8,1.0,0,0,4,0,0,0,511.0,613.0,9130.0,2992.0,20.0,4.0,20.0,4.0,17.0,6,5.0,702.0,84.0,285.0,284.0,139.0,10.0,24.0,503.0,1,0,0,9,10,5,0.0,0.0,0
2022-04-13,21:00,Champions Lg,Quarter-finals,Wed,Away,D,0,0,es Atlético Madrid,1.2,0.8,59,65675.0,İlkay Gündoğan,4-3-3,Daniel Siebert,Match Report,Leg 2 of 2; Manchester City won,10,1,16.6,0.0,0,0,3,0,0,0,550.0,640.0,9147.0,2620.0,19.0,4.0,19.0,0.0,16.0,12,16.0,755.0,86.0,224.0,402.0,137.0,12.0,20.0,537.0,5,0,0,7,8,1,0.0,0.0,0
2022-04-16,15:30,FA Cup,Semi-finals,Sat,Home,L,2,3,Liverpool,,,49,73793.0,Fernandinho,4-3-3,Michael Oliver,Match Report,,10,6,,,0,0,7,0,0,0,,,,,,,,,,8,,,,,,,,,,2,0,0,15,12,2,,,0
2022-04-20,20:00,Premier League,Matchweek 30,Wed,Home,W,3,0,Brighton,1.6,0.2,65,52226.0,İlkay Gündoğan,4-3-3,Mike Dean,Match Report,,17,5,20.0,0.0,0,0,1,0,0,0,610.0,706.0,11252.0,3551.0,16.0,7.0,31.0,4.0,16.0,11,6.0,806.0,57.0,217.0,363.0,234.0,4.0,14.0,600.0,0,0,0,12,7,1,0.0,0.0,0
2022-04-23,15:00,Premier League,Matchweek 34,Sat,Home,W,5,1,Watford,3.9,0.4,73,53013.0,Fernandinho,4-2-3-1,Kevin Friend,Match Report,,20,7,14.6,0.0,1,1,2,0,0,0,641.0,738.0,10572.0,2783.0,13.0,11.0,38.0,10.0,25.0,16,6.0,840.0,37.0,127.0,466.0,251.0,8.0,13.0,633.0,1,0,0,9,7,0,1.0,0.0,0
2022-04-26,20:00,Champions Lg,Semi-finals,Tue,Home,W,4,3,es Real Madrid,2.7,1.6,59,52217.0,Rúben Dias,4-3-3,István Kovács,Match Report,Leg 1 of 2,16,5,14.7,1.0,0,0,5,1,0,0,559.0,651.0,9658.0,2742.0,14.0,5.0,29.0,9.0,16.0,9,12.0,747.0,52.0,156.0,338.0,259.0,12.0,17.0,550.0,1,0,0,11,5,3,0.0,1.0,0
2022-04-30,17:30,Premier League,Matchweek 35,Sat,Away,W,4,0,Leeds United,2.5,1.3,58,35771.0,İlkay Gündoğan,4-2-3-1,Paul Tierney,Match Report,,19,6,16.2,0.0,0,0,1,0,0,0,572.0,660.0,9428.0,2969.0,20.0,6.0,33.0,8.0,9.0,4,14.0,777.0,62.0,222.0,372.0,192.0,23.0,41.0,563.0,2,0,0,3,13,1,0.0,0.0,0
2022-05-04,21:00,Champions Lg,Semi-finals,Wed,Away,L,1,3,es Real Madrid,1.4,2.3,55,61416.0,Rúben Dias,4-3-3,Daniele Orsato,Match Report,Leg 2 of 2; Real Madrid won; Required Extra Time,15,9,18.1,1.0,0,0,5,1,0,0,582.0,712.0,10425.0,3467.0,21.0,9.0,28.0,2.0,30.0,15,12.0,848.0,91.0,289.0,331.0,238.0,19.0,25.0,576.0,3,0,0,18,14,3,0.0,1.0,0
2022-05-08,16:30,Premier League,Matchweek 36,Sun,Home,W,5,0,Newcastle Utd,3.3,0.8,71,53336.0,İlkay Gündoğan,4-2-3-1,Stuart Attwell,Match Report,,21,9,16.0,1.0,0,0,3,0,0,0,663.0,746.0,11140.0,3023.0,12.0,8.0,37.0,8.0,8.0,5,3.0,836.0,45.0,151.0,456.0,238.0,9.0,16.0,659.0,1,0,0,6,11,1,0.0,0.0,0
2022-05-11,20:15,Premier League,Matchweek 33,Wed,Away,W,5,1,Wolves,2.8,0.5,66,32000.0,Fernandinho,4-2-3-1,Martin Atkinson,Match Report,,15,5,14.7,0.0,0,0,3,0,0,0,739.0,819.0,12517.0,3773.0,12.0,2.0,25.0,8.0,22.0,10,4.0,904.0,48.0,233.0,497.0,179.0,5.0,9.0,735.0,1,0,0,11,2,3,0.0,0.0,0
2022-05-15,14:00,Premier League,Matchweek 37,Sun,Away,D,2,2,West Ham,2.9,1.8,78,59972.0,Fernandinho,4-3-3,Anthony Taylor,Match Report,,30,7,18.6,2.0,0,1,2,0,0,0,658.0,752.0,10864.0,2708.0,15.0,9.0,55.0,2.0,10.0,7,2.0,842.0,29.0,113.0,374.0,359.0,11.0,16.0,653.0,1,0,0,5,9,0,1.0,0.0,0
2022-05-22,16:00,Premier League,Matchweek 38,Sun,Home,W,3,2,Aston Villa,3.7,0.3,71,53395.0,Fernandinho,4-3-3,Michael Oliver,Match Report,,24,5,14.2,1.0,0,0,2,0,0,0,568.0,670.0,10243.0,3050.0,30.0,13.0,45.0,5.0,11.0,5,4.0,758.0,30.0,113.0,346.0,302.0,15.0,20.0,562.0,0,0,0,5,11,1,0.0,0.0,0
2017-08-08,20:45,Super Cup,UEFA Super Cup,Tue,Neutral,L,1,2,es Real Madrid,,,37,30421,Antonio Valencia,3-5-2,Gianluca Rocchi,Match Report,,14,6,,,0,0,6,0,0,0,,,,,,,,,,17,,,,,,,,,,2,0,0,17,12,2,0.0,0.0,0
2017-08-13,16:00,Premier League,Matchweek 1,Sun,Home,W,4,0,West Ham,2.1,0.5,55,74928,Antonio Valencia,4-2-3-1,Martin Atkinson,Match Report,,21,5,18.3,0.0,0,0,1,0,0,0,442.0,538.0,7647.0,2869.0,21.0,11.0,39.0,7.0,14.0,8,6.0,645.0,47.0,170.0,305.0,175.0,23.0,31.0,436.0,2,0,0,19,7,1,0.0,0.0,0
2017-08-19,12:30,Premier League,Matchweek 2,Sat,Away,W,4,0,Swansea City,3.0,0.4,58,20862,Antonio Valencia,4-2-3-1,Jonathan Moss,Match Report,,17,8,18.3,1.0,0,0,0,0,0,0,542.0,637.0,8245.0,2715.0,13.0,5.0,28.0,7.0,16.0,11,10.0,757.0,45.0,157.0,401.0,208.0,13.0,25.0,541.0,1,0,0,11,12,0,0.0,0.0,0
2017-08-26,17:30,Premier League,Matchweek 3,Sat,Home,W,2,0,Leicester City,2.8,0.9,69,75021,Antonio Valencia,4-2-3-1,Michael Oliver,Match Report,,21,6,19.6,1.0,0,1,4,0,0,0,604.0,724.0,9545.0,3253.0,19.0,9.0,40.0,3.0,9.0,8,6.0,814.0,43.0,153.0,367.0,300.0,17.0,21.0,599.0,1,0,0,8,6,2,0.0,0.0,0
